start_time: 1748369853.865153, duration: 3, hr: 60, rr: 0, waveform: sine, dc: 0.5, max_amp: 240 
start_time: 1748370070.4198887, duration: 3, hr: 60, rr: 0, waveform: sine, dc: 0.5, max_amp: 260 
start_time: 1748370287.1490796, duration: 3, hr: 60, rr: 0, waveform: sine, dc: 0.5, max_amp: 280 
start_time: 1748370503.2064257, duration: 3, hr: 60, rr: 0, waveform: sine, dc: 0.5, max_amp: 300 
start_time: 1748370718.9183998, duration: 3, hr: 60, rr: 0, waveform: sine, dc: 0.5, max_amp: 320 
start_time: 1748370935.128154, duration: 3, hr: 60, rr: 0, waveform: sine, dc: 0.5, max_amp: 340 


start_time: 1748371186.974316, duration: 3, hr: 90, rr: 0, waveform: sine, dc: 0.5, max_amp: 180 
start_time: 1748371402.7177477, duration: 3, hr: 90, rr: 0, waveform: sine, dc: 0.5, max_amp: 200 
start_time: 1748371619.980189, duration: 3, hr: 90, rr: 0, waveform: sine, dc: 0.5, max_amp: 220 
start_time: 1748371836.2039835, duration: 3, hr: 90, rr: 0, waveform: sine, dc: 0.5, max_amp: 240 
start_time: 1748372052.8376098, duration: 3, hr: 90, rr: 0, waveform: sine, dc: 0.5, max_amp: 260 
start_time: 1748372268.8928177, duration: 3, hr: 90, rr: 0, waveform: sine, dc: 0.5, max_amp: 280 
start_time: 1748372483.8882217, duration: 3, hr: 90, rr: 0, waveform: sine, dc: 0.5, max_amp: 300 
start_time: 1748372700.510672, duration: 3, hr: 90, rr: 0, waveform: sine, dc: 0.5, max_amp: 320 
start_time: 1748372916.4418814, duration: 3, hr: 90, rr: 0, waveform: sine, dc: 0.5, max_amp: 340 

start_time: 1748375607.9613397, duration: 3, hr: 120, rr: 0, waveform: sine, dc: 0.5, max_amp: 180 
start_time: 1748375824.6696534, duration: 3, hr: 120, rr: 0, waveform: sine, dc: 0.5, max_amp: 200 
start_time: 1748376041.988735, duration: 3, hr: 120, rr: 0, waveform: sine, dc: 0.5, max_amp: 220 
start_time: 1748376258.3838227, duration: 3, hr: 120, rr: 0, waveform: sine, dc: 0.5, max_amp: 240 
start_time: 1748376474.6390893, duration: 3, hr: 120, rr: 0, waveform: sine, dc: 0.5, max_amp: 260 
start_time: 1748376690.5625703, duration: 3, hr: 120, rr: 0, waveform: sine, dc: 0.5, max_amp: 280 
start_time: 1748376907.154937, duration: 3, hr: 120, rr: 0, waveform: sine, dc: 0.5, max_amp: 300 
start_time: 1748377123.291233, duration: 3, hr: 120, rr: 0, waveform: sine, dc: 0.5, max_amp: 320 
start_time: 1748377338.5897973, duration: 3, hr: 120, rr: 0, waveform: sine, dc: 0.5, max_amp: 340 
start_time: 1750174939.1580865, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 256 
start_time: 1750177635.1968083, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 256 
start_time: 1750179782.9793365, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 256 
